"dbms"	"TABLE_SCHEMA"	"TABLE_NAME"	"COLUMN_NAME"	"ORDINAL_POSITION"	"DATA_TYPE"	"CHARACTER_MAXIMUM_LENGTH"	"CONSTRAINT_TYPE"	"REFERENCED_TABLE_SCHEMA"	"REFERENCED_TABLE_NAME"	"REFERENCED_COLUMN_NAME"
"mysql"	"performance_schema"	"cond_instances"	"OBJECT_INSTANCE_BEGIN"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_current"	"EVENT_ID"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_history"	"EVENT_ID"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"HOST"	"1"	"char"	"60"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_host_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_instance"	"OBJECT_INSTANCE_BEGIN"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"THREAD_ID"	"1"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_thread_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"USER"	"1"	"char"	"32"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_user_by_event_name"	"EVENT_NAME"	"2"	"varchar"	"128"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"USER"	"1"	"char"	"32"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"HOST"	"2"	"char"	"60"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_by_account_by_event_name"	"EVENT_NAME"	"3"	"varchar"	"128"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"events_waits_summary_global_by_event_name"	"EVENT_NAME"	"1"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"file_instances"	"FILE_NAME"	"1"	"varchar"	"512"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_event_name"	"EVENT_NAME"	"1"	"varchar"	"128"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"file_summary_by_instance"	"OBJECT_INSTANCE_BEGIN"	"3"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"host_cache"	"IP"	"1"	"varchar"	"64"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"mutex_instances"	"OBJECT_INSTANCE_BEGIN"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"objects_summary_global_by_type"	"OBJECT_TYPE"	"1"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"objects_summary_global_by_type"	"OBJECT_SCHEMA"	"2"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"objects_summary_global_by_type"	"OBJECT_NAME"	"3"	"varchar"	"64"	"UNIQUE"	\N	\N	\N
"mysql"	"performance_schema"	"rwlock_instances"	"OBJECT_INSTANCE_BEGIN"	"2"	"bigint"	\N	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"setup_actors"	"HOST"	"1"	"char"	"60"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"setup_actors"	"USER"	"2"	"char"	"32"	"PRIMARY KEY"	\N	\N	\N
"mysql"	"performance_schema"	"setup_actors"	"ROLE"	"3"	"char"	"32"	"PRIMARY KEY"	\N	\N	\N
